region,period,period_name,out,out_exp,ratio_out,inp,inp_exp,ratio_in
Hunan,2,April  2020-Jul 2020: Revovery period,3556.2,4233.976776,0.839919581,348.8,409.0141347,0.852782265
Guangdong,2,April  2020-Jul 2020: Revovery period,11095.6,14033.27593,0.790663567,420.6,552.4007322,0.76140377
Guangxi,2,April  2020-Jul 2020: Revovery period,3369.5,4169.121583,0.808203823,214.8,243.5748119,0.881864583
Hainan,2,April  2020-Jul 2020: Revovery period,652.2,786.1770071,0.82958417,34,40.08083032,0.84828582
Chongqing,2,April  2020-Jul 2020: Revovery period,2483.9,2816.66389,0.881858857,155.3,193.0968427,0.804259655
Sichuan,2,April  2020-Jul 2020: Revovery period,6657.9,7874.468871,0.845504644,423.3,502.0130457,0.843205179
Guizhou,2,April  2020-Jul 2020: Revovery period,2398.7,3099.656034,0.773860058,209,265.6001581,0.786897122
Yunnan,2,April  2020-Jul 2020: Revovery period,3664.1,4393.783263,0.833928253,261,314.9556045,0.828688222
Tibet,2,April  2020-Jul 2020: Revovery period,195.2,180.0252702,1.084292221,7.3,7.767417227,0.93982334
Shaanxi,2,April  2020-Jul 2020: Revovery period,3003.4,3580.004355,0.838937527,202.6,269.5873042,0.75151907
Gansu,2,April  2020-Jul 2020: Revovery period,1645.9,1855.859946,0.886866492,119.1,140.3177079,0.848788095
Qinghai,2,April  2020-Jul 2020: Revovery period,445.6,461.2954661,0.965975243,31.4,32.16147999,0.976323229
Ningxia,2,April  2020-Jul 2020: Revovery period,678.5,760.739063,0.891895833,33.9,37.86298827,0.895333452
Xinjiang,2,April  2020-Jul 2020: Revovery period,1917.9,1761.458914,1.088813361,143.9,136.878617,1.05129642
Taiwan,3,Aug 2020 - Feb 2022: Low COVID-19,,,,,,
