,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
28,19960002.57,17434000,-2526002.572,-3463056.431,-1614851.503,0.873919809,0.83428018,0.915225781,0,Fujian,4,19960002.6,17434000,-2526003,-3463056,-1614852,0.87,0.83,0.92,0,Fujian,4
36,9914769.279,9743000,-171769.2789,-614140.6662,272302.1678,0.983219337,0.940703648,1.02875207,0.47,Gansu,4,9914769.28,9743000,-171769,-614141,272302,0.98,0.94,1.03,0.47,Gansu,4
44,72936419.58,63874000,-9062419.58,-12102512.6,-6080543.318,0.876129443,0.840707206,0.91307865,0,Guangdong,4,72936419.6,63874000,-9062420,-12102513,-6080543,0.88,0.84,0.91,0,Guangdong,4
52,22653942.08,20154000,-2499942.08,-3307965.033,-1707876.48,0.88992544,0.859007358,0.921878779,0,Guangxi,4,22653942.1,20154000,-2499942,-3307965,-1707877,0.89,0.86,0.92,0,Guangxi,4
60,17648696.36,14214000,-3434696.357,-4363849.852,-2534009.044,0.805968505,0.765104725,0.848697962,0,Guizhou,4,17648696.4,14214000,-3434696,-4363850,-2534009,0.81,0.77,0.85,0,Guizhou,4
68,4634476.973,3793000,-841476.9728,-1136509.28,-563993.1843,0.819236756,0.769447792,0.870554495,0,Hainan,4,4634476.97,3793000,-841477,-1136509,-563993,0.82,0.77,0.87,0,Hainan,4
76,33062972.86,29106000,-3956972.858,-5501964.861,-2302597.899,0.880848988,0.841020272,0.926688932,0,Hebei,4,33062972.9,29106000,-3956973,-5501965,-2302598,0.88,0.84,0.93,0,Hebei,4
84,12287290.5,9294000,-2993290.496,-3356170.538,-2625025.787,0.756573411,0.734693653,0.779761721,0,Heilongjiang,4,12287290.5,9294000,-2993291,-3356171,-2625026,0.76,0.73,0.78,0,Heilongjiang,4
92,45755180.57,40100000,-5655180.573,-6945815.592,-4349696.907,0.876576071,0.852360609,0.902143384,0,Henan,4,45755180.6,40100000,-5655181,-6945816,-4349697,0.88,0.85,0.90,0,Henan,4
100,29797838.39,25626000,-4171838.389,-6545564.329,-1818556.971,0.861363069,0.796541937,0.933737062,0,Hubei,4,29797838.4,25626000,-4171838,-6545564,-1818557,0.86,0.80,0.93,0,Hubei,4
108,23682417.58,21130000,-2552417.581,-3538698.319,-1592372.012,0.892592474,0.856551085,0.929920521,0,Hunan,4,23682417.6,21130000,-2552418,-3538698,-1592372,0.89,0.86,0.93,0,Hunan,4
